timestamp,session_id,conn_profile,real_ip,sn,robot_version,menu_choice,action,target,value,side,joint_index,joint_name,step_value,command_value,status,error,left_gripper_est,right_gripper_est,left_arm_estimate,right_arm_estimate,notes,git_branch,git_commit
2026-05-15T10:58:41+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,session,connect,,,,,,,,success,,0.800,0.800,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T10:59:03+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.850,right,,,0.050,0.850,success,,0.800,0.850,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T10:59:08+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,0.800,0.800,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:15+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.750,right,,,0.050,0.750,success,,0.800,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:16+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.700,right,,,0.050,0.700,success,,0.800,0.700,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:16+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.650,right,,,0.050,0.650,success,,0.800,0.650,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:17+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.600,right,,,0.050,0.600,success,,0.800,0.600,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:21+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,3,gripper_adjust,left,0.850,left,,,0.050,0.850,success,,0.850,0.600,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T10:59:25+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.800,left,,,0.050,0.800,success,,0.800,0.600,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:25+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.750,left,,,0.050,0.750,success,,0.750,0.600,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:26+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.700,left,,,0.050,0.700,success,,0.700,0.600,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:38+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,5,open_gripper,right,,right,,,,,cancelled,,0.700,0.600,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T10:59:45+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.650,right,,,0.050,0.650,success,,0.700,0.650,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T10:59:47+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.700,right,,,0.050,0.700,success,,0.700,0.700,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T10:59:47+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.750,right,,,0.050,0.750,success,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T10:59:48+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,0.700,0.800,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T10:59:48+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.850,right,,,0.050,0.850,success,,0.700,0.850,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T10:59:50+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,0.700,0.800,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T10:59:51+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.750,right,,,0.050,0.750,success,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:00:03+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,8,arm_home,right,,right,,,,,cancelled,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:00:18+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,10,arm_home,both,,both,,,,,cancelled,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:00:55+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,11,single_joint_step,right,0.150,right,1,shoulder_yaw,0.050,0.150,cancelled,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:01:09+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,13,shutdown_safe_pose,right,,right,,,,,cancelled,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:01:18+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,13,shutdown_safe_pose,right,,right,,,,,cancelled,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:01:23+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,13,shutdown_safe_pose,right,,right,,,,,cancelled,,0.700,0.750,"[?, ?, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:01:47+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,12,single_joint_step,left,1.100,left,1,shoulder_yaw,0.100,1.100,success,,0.700,0.750,"[?, 1.100, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]","operator_current_est=1.000; raw_target=1.100; limit=[-0.213, 2.029]",,
2026-05-15T11:02:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,9,arm_home,left,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",left,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",success,,0.700,0.750,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:02:54+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,0.700,0.800,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:02:56+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.850,right,,,0.050,0.850,success,,0.700,0.850,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:02:56+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,0.700,0.800,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:57+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.750,right,,,0.050,0.750,success,,0.700,0.750,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:58+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.700,right,,,0.050,0.700,success,,0.700,0.700,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:58+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.650,right,,,0.050,0.650,success,,0.700,0.650,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:58+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.600,right,,,0.050,0.600,success,,0.700,0.600,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.550,right,,,0.050,0.550,success,,0.700,0.550,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.500,right,,,0.050,0.500,success,,0.700,0.500,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.450,right,,,0.050,0.450,success,,0.700,0.450,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.400,right,,,0.050,0.400,success,,0.700,0.400,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.350,right,,,0.050,0.350,success,,0.700,0.350,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:03:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.300,right,,,0.050,0.300,success,,0.700,0.300,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:03:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.350,right,,,0.050,0.350,success,,0.700,0.350,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.400,right,,,0.050,0.400,success,,0.700,0.400,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.450,right,,,0.050,0.450,success,,0.700,0.450,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.500,right,,,0.050,0.500,success,,0.700,0.500,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.550,right,,,0.050,0.550,success,,0.700,0.550,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.600,right,,,0.050,0.600,success,,0.700,0.600,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:02+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.650,right,,,0.050,0.650,success,,0.700,0.650,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:02+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.700,right,,,0.050,0.700,success,,0.700,0.700,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:06:37+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,8,arm_home,right,,right,,,,,cancelled,,0.700,0.700,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:06:40+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,7,open_gripper,both,1.00,both,,,,1.00,success,,1.000,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:08:24+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,8,arm_home,right,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",right,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",success,,1.000,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",,,
2026-05-15T11:09:04+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,9,arm_home,left,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",left,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",success,,1.000,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",,,
2026-05-15T11:10:57+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.950,right,,,0.050,0.950,success,,1.000,0.950,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:10:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.900,right,,,0.050,0.900,success,,1.000,0.900,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:10:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.850,right,,,0.050,0.850,success,,1.000,0.850,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:10:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,1.000,0.800,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.750,right,,,0.050,0.750,success,,1.000,0.750,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.700,right,,,0.050,0.700,success,,1.000,0.700,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:02+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.650,right,,,0.050,0.650,success,,1.000,0.650,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:02+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.600,right,,,0.050,0.600,success,,1.000,0.600,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:03+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.550,right,,,0.050,0.550,success,,1.000,0.550,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:04+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.500,right,,,0.050,0.500,success,,1.000,0.500,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:05+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.450,right,,,0.050,0.450,success,,1.000,0.450,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:05+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.400,right,,,0.050,0.400,success,,1.000,0.400,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:06+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.350,right,,,0.050,0.350,success,,1.000,0.350,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:13+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,5,open_gripper,right,1.00,right,,,,1.00,success,,1.000,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",,,
2026-05-15T11:11:23+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.950,left,,,0.050,0.950,success,,0.950,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:27+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.900,left,,,0.050,0.900,success,,0.900,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:28+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.850,left,,,0.050,0.850,success,,0.850,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:29+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.800,left,,,0.050,0.800,success,,0.800,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:29+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.750,left,,,0.050,0.750,success,,0.750,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:30+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.700,left,,,0.050,0.700,success,,0.700,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:30+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.650,left,,,0.050,0.650,success,,0.650,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:30+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.600,left,,,0.050,0.600,success,,0.600,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:31+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,4,gripper_adjust,left,0.550,left,,,0.050,0.550,success,,0.550,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
2026-05-15T11:11:32+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,1.000,right,,,0.050,1.000,skipped,,0.550,1.000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",loosen,,
2026-05-15T11:11:33+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.950,right,,,0.050,0.950,success,,0.550,0.950,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",tighten,,
